"song","artist","genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","popularity"
"Turandot / Act 3: ""Nessun dorma!""","Giacomo Puccini","Classical",0.212,0.301,0.181818181818182,0.791583333333333,1,0.0384,0.963,0.0033,0.13,0.0798,0.084025,1,0.62
"The Sorcerer's Apprentice","Paul Dukas","Classical",0.351,0.206,0.0909090909090909,0.622383333333333,1,0.0597,0.797,0.255,0.0738,0.0839,0.130415,1,0.49
"Fanfare for the Common Man","Aaron Copland","Classical",0.223,0.165,0.909090909090909,0.726766666666667,1,0.0504,0.984,0.95,0.348,0.0518,0.073463,2,0.48
"Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato","Edvard Grieg","Classical",0.312,0.0465,0.818181818181818,0.559366666666667,0,0.0378,0.981,0.9,0.0872,0.0371,0.130303,0,0.49
"Suite No.3 In D, BWV 1068: 2. Air","Johann Sebastian Bach","Classical",0.0753,0.07,0.181818181818182,0.545466666666667,1,0.044,0.918,0.947,0.146,0.0625,0.079801,1,0.6
"Symphony No.8 in B minor, D.759 - ""Unfinished"": 1. Allegro moderato","Franz Schubert","Classical",0.1,0.0354,1,0.71315,0,0.0387,0.901,0.865,0.125,0.0426,0.073968,1,0.45
"Piano Concerto No. 1 in B-Flat Minor, Op. 23: I. Allegro non troppo e molto maestoso – Allegro con spirito","Pyotr Ilyich Tchaikovsky","Classical",0.212,0.119,0.0909090909090909,0.65815,1,0.0366,0.976,0.907,0.087,0.0396,0.084346,0,0.35
"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto","Ludwig van Beethoven","Classical",0.244,0.0021,0.0909090909090909,0.315933333333333,0,0.0417,0.995,0.86,0.161,0.187,0.064364,1,0.51
"Overture Candide","Leonard Bernstein","Classical",0.298,0.346,0.272727272727273,0.74225,1,0.0416,0.824,0.694,0.295,0.482,0.078989,1,0
"Andante festivo for Strings and Timpani, JS 34b","Jean Sibelius","Classical",0.113,0.161,0.636363636363636,0.6659,1,0.0442,0.484,0.928,0.16,0.0365,0.065062,1,0.48
"Liebestraum No. 3 in A-Flat Major, S. 541 / 3","Franz Liszt","Classical",0.279,0.0292,0.727272727272727,0.553266666666667,1,0.0406,0.987,0.902,0.104,0.0338,0.136732,0,0.56
